#                  1                2                3                     4                 5                    6                  7                   8                   9               10                      11                  12                13                    14               15                    16                   17                    18               19                    20               21               22               23               24               25               26               27               28              29               30               31               32               33               34               35               36               37               38               39              40               41               42               43               44               45               46               47               48               49               50              51               52               53               54               55               56               57               58               59               60               61
!              model          Mass(Mo)            Radius(Ro)               Yi               Zi                [Fe/H]i              age(Gyr)            alpha                f_ov               Ys                  Zs                [Fe/H]s             Teff(K)                L(Lo)            density(gm/cm^3)       Logg               cntr_h1        cntr_he4          tau0(s)           rcc(R)           mcc(M)           tcc(s)           rec(R)           mec(M)           tec(s)         rpeak(R)         mpeak(M)         tpeak(s)         rdip(R)          mdip(M)          tdip(s)              dnu            numax          r02(12)          r02(13)          r02(14)          r02(15)          r02(16)          r02(17)         r02(18)          r02(19)          r02(20)          r02(21)          r02(22)          r02(23)          r02(24)          r02(25)          r02(26)          r01(13)          r01(14)         r01(15)          r01(16)          r01(17)          r01(18)          r01(19)          r01(20)          r01(21)          r01(22)          r01(23)          r01(24)          r01(25) 
               33.11          0.79913664          0.80846405          0.29528633          0.01740462          0.04310846          7.63474369          1.46422517          0.00000000          0.25521666          0.01304213         -0.10941315       5105.59912109          0.39901635          2.13028860          4.52518892          0.37642089          0.60444266       2871.03247070          0.00000000          0.00000000          0.00000000          0.68266541          0.94964743       1088.75866699        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        165.37124634       4031.70849609          0.08707051          0.08418989          0.08069275          0.07795274          0.07497183          0.07196702          0.06961176          0.06699424          0.06451789          0.06245324          0.06018623          0.05818921          0.05643144          0.05453079          0.05291243          0.02918601          0.02788156          0.02749778          0.02447622          0.02411258          0.02345255          0.02118759          0.02132807          0.02036411          0.01878586          0.01913900          0.01798873          0.01712420
               33.12          0.79913664          0.81877422          0.29528633          0.01740462          0.04310846          8.43474388          1.46422517          0.00000000          0.25224459          0.01290327         -0.11590424       5123.97167969          0.41518110          2.05082273          4.51418209          0.34322131          0.63747525       2923.88842773          0.00000000          0.00000000          0.00000000          0.68052906          0.95016903       1102.13037109        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        162.35748291       3923.75805664          0.08404902          0.08120451          0.07759325          0.07471691          0.07177288          0.06865724          0.06622111          0.06364835          0.06109406          0.05903089          0.05683207          0.05479413          0.05308851          0.05124864          0.04961442          0.02910496          0.02712301          0.02692574          0.02373944          0.02283042          0.02252193          0.02007271          0.01988319          0.01933310          0.01748287          0.01771070          0.01692917          0.01568553
               33.13          0.79913664          0.82210338          0.29528633          0.01740462          0.04310846          8.67474365          1.46422517          0.00000000          0.25138432          0.01287140         -0.11750504       5129.19726562          0.42027429          2.02600861          4.51065731          0.33326116          0.64738220       2941.01660156          0.00000000          0.00000000          0.00000000          0.67941093          0.95016903       1105.39184570        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        161.40830994       3890.06030273          0.08313584          0.08029529          0.07665259          0.07372572          0.07078627          0.06763901          0.06516824          0.06260389          0.06002521          0.05795364          0.05577394          0.05372500          0.05202945          0.05021247          0.04857781          0.02912046          0.02692286          0.02675357          0.02354032          0.02244671          0.02221741          0.01973743          0.01942055          0.01898624          0.01708320          0.01724388          0.01658426          0.01525845
               33.14          0.79913664          0.83007580          0.29528633          0.01740462          0.04310846          9.23474407          1.46422517          0.00000000          0.24939059          0.01279803         -0.12120642       5141.78320312          0.43268597          1.96819162          4.50227499          0.31002870          0.67048430       2982.11230469          0.00000000          0.00000000          0.00000000          0.67824829          0.95068491       1116.76074219        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        159.14532471       3811.02294922          0.08103216          0.07818384          0.07447330          0.07142293          0.06848139          0.06526502          0.06270332          0.06014316          0.05750651          0.05540223          0.05325339          0.05117052          0.04948662          0.04771832          0.04606892          0.02927085          0.02657614          0.02640095          0.02317408          0.02163668          0.02151186          0.01901254          0.01836373          0.01812253          0.01616198          0.01611447          0.01570016          0.01423781
               33.15          0.79913664          0.84229928          0.29528633          0.01740462          0.04310846         10.03474426          1.46422517          0.00000000          0.24658845          0.01269642         -0.12637413       5159.65380859          0.45174918          1.88374138          4.48957729          0.27689970          0.70341033       3045.38085938          0.00000000          0.00000000          0.00000000          0.67593980          0.95120084       1132.75207520        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        155.83976746       3694.79858398          0.07803465          0.07515995          0.07135950          0.06807730          0.06511193          0.06180421          0.05906095          0.05649730          0.05377759          0.05156372          0.04945834          0.04734327          0.04562039          0.04391447          0.04228996          0.02975816          0.02624168          0.02597502          0.02284011          0.02054460          0.02050993          0.01806543          0.01678834          0.01680429          0.01485127          0.01434713          0.01432173          0.01280393
               33.16          0.79913664          0.85580337          0.29528633          0.01740462          0.04310846         10.83474445          1.46422517          0.00000000          0.24383032          0.01259899         -0.13139065       5176.69335938          0.47254160          1.79596806          4.47576237          0.24394242          0.73615295       3115.68164062          0.00000000          0.00000000          0.00000000          0.67499489          0.95223272       1154.25964355        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        152.28445435       3573.21948242          0.07520073          0.07221757          0.06835081          0.06484767          0.06178413          0.05839933          0.05546147          0.05282261          0.05004266          0.04769739          0.04556601          0.04343592          0.04166317          0.03997893          0.03837132          0.03059182          0.02645488          0.02577619          0.02276598          0.01988981          0.01959610          0.01730756          0.01551986          0.01542457          0.01364628          0.01275650          0.01276622          0.01140613
               33.17          0.79913664          0.87049794          0.29528633          0.01740462          0.04310846         11.63474369          1.46422517          0.00000000          0.24116233          0.01250630         -0.13620684       5193.77734375          0.49539453          1.70654345          4.46097469          0.21135071          0.76850808       3192.62158203          0.00000000          0.00000000          0.00000000          0.67109895          0.95223272       1170.15673828        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        148.60325623       3447.91650391          0.07252682          0.06942970          0.06549279          0.06171361          0.05854610          0.05506092          0.05186638          0.04914134          0.04627579          0.04377051          0.04161006          0.03941584          0.03754676          0.03591320          0.03429450          0.03202228          0.02707488          0.02591873          0.02315502          0.01949384          0.01892487          0.01688074          0.01440076          0.01419430          0.01260278          0.01115053          0.01134426          0.01007739
               33.18          0.79913664          0.88670379          0.29528633          0.01740462          0.04310846         12.43474388          1.46422517          0.00000000          0.23856176          0.01241940         -0.14079624       5210.47851562          0.52065480          1.61467421          4.44495344          0.17943978          0.80014777       3278.04980469          0.00000000          0.00000000          0.00000000          0.66866446          0.95274442       1192.14208984        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        144.69084167       3317.70678711          0.07018667          0.06690473          0.06292328          0.05887504          0.05551396          0.05193344          0.04848357          0.04557185          0.04262203          0.03991665          0.03764310          0.03539090          0.03341167          0.03172511          0.03009256          0.03405694          0.02851171          0.02658751          0.02405575          0.01981379          0.01860221          0.01681271          0.01378864          0.01313920          0.01181404          0.00987479          0.00983627          0.00888903
               33.19          0.79913664          0.90483338          0.29528633          0.01740462          0.04310846         13.23474407          1.46422517          0.00000000          0.23601089          0.01233736         -0.14519848       5226.36132812          0.54880399          1.51954925          4.42737341          0.14867811          0.83061850       3374.36987305          0.00000000          0.00000000          0.00000000          0.66462851          0.95274442       1212.94177246        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        140.53915405       3181.24414062          0.06826006          0.06473491          0.06069076          0.05639567          0.05276993          0.04905035          0.04531686          0.04214354          0.03903555          0.03609711          0.03361155          0.03124486          0.02907956          0.02727172          0.02557693          0.03680070          0.03092124          0.02803315          0.02554999          0.02094481          0.01887851          0.01709464          0.01374246          0.01240142          0.01113764          0.00888338          0.00837093          0.00756180
               33.20          0.79913664          0.92524517          0.29528633          0.01740462          0.04310846         14.03474426          1.46422517          0.00000000          0.23355138          0.01226280         -0.14929271       5241.50878906          0.58052552          1.42118347          4.40799665          0.11953120          0.85942912       3483.73364258          0.00000000          0.00000000          0.00000000          0.66133440          0.95300025       1239.23815918        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        136.08096313       3038.03051758          0.06681449          0.06298623          0.05891822          0.05435556          0.05038488          0.04650993          0.04244939          0.03890149          0.03559060          0.03234046          0.02953349          0.02696811          0.02454330          0.02249453          0.02066176          0.04057082          0.03448057          0.03031495          0.02797766          0.02311474          0.01979763          0.01807034          0.01442385          0.01200667          0.01083685          0.00826084          0.00686117          0.00629079
               33.21          0.79913664          0.94858891          0.29528633          0.01740462          0.04310846         14.83474445          1.46422517          0.00000000          0.23123603          0.01221702         -0.15227462       5255.09033203          0.61653697          1.31882298          4.38635445          0.09207247          0.88647741       3610.03320312          0.00000000          0.00000000          0.00000000          0.65722722          0.95300025       1267.84313965        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        131.25866699       2886.60766602          0.06606009          0.06189603          0.05774253          0.05300372          0.04863283          0.04448709          0.04012362          0.03612654          0.03246128          0.02886202          0.02563916          0.02272039          0.01996008          0.01757277          0.01545332          0.04530490          0.03940184          0.03409508          0.03136640          0.02653803          0.02209106          0.01979045          0.01603934          0.01263866          0.01094094          0.00819501          0.00592388          0.00498524
               33.22          0.79913664          0.97518402          0.29528633          0.01740462          0.04310846         15.63474369          1.46422517          0.00000000          0.22901782          0.01216032         -0.15559901       5266.78857422          0.65741408          1.21383846          4.36233711          0.06505945          0.91308367       3755.48168945          0.00000000          0.00000000          0.00000000          0.65256113          0.95274442       1299.73193359        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        126.11940002       2728.27294922          0.06613802          0.06164464          0.05740025          0.05254225          0.04777869          0.04331890          0.03863543          0.03415019          0.03006558          0.02604328          0.02229166          0.01893044          0.01574799          0.01287874          0.01035355          0.05125815          0.04580959          0.03953320          0.03619053          0.03148667          0.02601465          0.02288552          0.01899349          0.01456410          0.01210912          0.00913208          0.00582114          0.00427229
               33.23          0.79913664          1.00469935          0.29528633          0.01740462          0.04310846         16.43474388          1.46422517          0.00000000          0.22708523          0.01200737         -0.16228811       5275.54638672          0.70246434          1.10997283          4.33643818          0.03492225          0.94288474       3918.84521484          0.00000000          0.00000000          0.00000000          0.64799732          0.95223272       1336.08496094        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        120.77922821       2568.19506836          0.06714224          0.06234468          0.05799163          0.05313232          0.04801248          0.04321030          0.03826743          0.03329836          0.02872964          0.02427578          0.01997040          0.01605781          0.01238525          0.00897222          0.00593566          0.05817037          0.05352160          0.04659642          0.04237102          0.03799942          0.03174262          0.02743561          0.02352727          0.01825027          0.01453180          0.01141147          0.00720219          0.00442771
               33.24          0.79913664          1.03961647          0.29528633          0.01740462          0.04310846         17.23474312          1.46422517          0.00000000          0.22536503          0.01195656         -0.16513941       5277.49902344          0.75325394          1.00184619          4.30676413          0.00732494          0.97018033       4115.46337891          0.00000000          0.00000000          0.00000000          0.64095855          0.95068491       1373.39160156        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        114.92369080       2398.13403320          0.06939041          0.06448339          0.06004161          0.05530430          0.05000714          0.04489877          0.03977475          0.03443315          0.02935915          0.02445500          0.01958395          0.01502926          0.01076251          0.00670157          0.00299398          0.06676680          0.06299073          0.05626391          0.05119607          0.04706128          0.04067872          0.03516855          0.03103813          0.02537624          0.02026596          0.01668353          0.01195132          0.00759633
               33.25          0.79913664          1.08562195          0.29528633          0.01740462          0.04310846         18.03474426          1.46422517          0.00000000          0.22421242          0.01204634         -0.16249512       5273.35986328          0.81882149          0.87980139          4.26915312          0.00048312          0.97652906       4379.33740234          0.00000000          0.00000000          0.00000000          0.63117200          0.94808263       1418.80334473        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        107.96501923       2200.05175781          0.07370608          0.06908479          0.06480093          0.06047780          0.05537369          0.05020318          0.04515282          0.03971223          0.03424618          0.02900146          0.02364181          0.01836386          0.01340705          0.00857077          0.00390457          0.07834437          0.07586811          0.07041018          0.06504142          0.06149027          0.05590686          0.04948155          0.04522759          0.04002270          0.03345575          0.02899546          0.02454857          0.01840666
               33.26          0.79913664          1.10982335          0.29528633          0.01740462          0.04310846         18.38474464          1.46422517          0.00000000          0.22396596          0.01208889         -0.16107976       5268.54003906          0.85261142          0.82349133          4.25000286          0.00009782          0.97666055       4520.24121094          0.00000000          0.00000000          0.00000000          0.62634665          0.94650072       1442.67028809        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        104.60211945       2106.11010742          0.07603063          0.07175700          0.06765927          0.06365896          0.05881308          0.05372041          0.04886477          0.04359196          0.03804017          0.03273762          0.02735804          0.02182557          0.01656173          0.01147537          0.00642506          0.08366536          0.08197719          0.07755949          0.07223006          0.06908303          0.06444006          0.05778141          0.05332571          0.04898583          0.04209597          0.03671626          0.03287250          0.02661246
